marshRegion,liveMass,longitude,latitude,deadMass,totalMass
1,36.47321428571429,-75.68465969428568,37.4309559975,13.076071428571428,49.54928571428571
1,31.50793103448276,-75.686004297931,37.428654722758615,8.13241379310345,39.64034482758621
1,41.48214285714287,-75.68738017142854,37.42629992999999,6.5132142857142865,47.995357142857124
1,48.69178571428574,-75.68465969428568,37.4309559975,15.760357142857146,64.45214285714285
1,50.73470370370371,-75.68603672592589,37.42859922259259,8.95877777777778,59.6934814814815
1,37.32944444444444,-75.68697713777775,37.42698971777778,0.6683333333333333,37.99777777777778
1,32.90689655172414,-75.68687985379307,37.42715621827586,0.0,32.90689655172414
1,32.718148148148146,-75.6879175496296,37.42538021296296,0.0,32.718148148148146
1,29.529999999999998,-75.68556651999997,37.42940397500001,0.0,29.529999999999998
1,11.740666666666668,-75.68810563199996,37.425058312,0.0,12.226333333333335
